name,price,datetime
Mod Calibrator,16969,2025-04-14T13:29:29
Mega Tundrus Recipe,10000,2025-04-14T11:07:49
Shadow Mote,150,2025-04-14T07:46:09
Frosty Scale Mail,1800,2025-04-14T07:16:09
Divine Orb x3,3990,2025-04-14T04:44:28
Enamorock,12000,2025-04-14T04:34:28
Enamorock,12000,2025-04-14T04:34:28
Flame Soul,799,2025-04-14T04:22:48
Advanced Orb of Alchemy,4500,2025-04-14T02:09:28
Advanced Orb of Alchemy,4500,2025-04-14T02:07:48
Advanced Orb of Alchemy,4500,2025-04-14T02:07:48
Divine Star,2000,2025-04-14T01:52:48
Schemer Scrap,10000,2025-04-14T01:49:28
Platinum Lockbox,10000,2025-04-13T23:52:48
Stellar Sentinel Helm,30000,2025-04-13T23:07:48
Flame Soul,1000,2025-04-13T23:06:08
Blackhawk Recipe,12000,2025-04-13T21:21:08
Dusky Stranger Robe,40000,2025-04-13T18:57:48
Argent Peacemaker Recipe,35000,2025-04-13T17:37:48
Kilowatt Pulsar Recipe,7000,2025-04-13T17:36:08
Advanced Orb of Alchemy,4500,2025-04-13T17:24:28
Advanced Orb of Alchemy,4500,2025-04-13T17:24:28
Flawed Orb of Alchemy x3,1300,2025-04-13T17:22:49
Toasty Node Slime Guards,5000,2025-04-13T17:14:28
Military Field Cap,2000,2025-04-13T17:14:28
Regal Plumed Cap,2000,2025-04-13T17:14:28
Military Node Slime Mask,5000,2025-04-13T16:52:10
Monster Bone,200,2025-04-13T16:33:50
Monster Bone,200,2025-04-13T16:33:50
Red Shard x10,250,2025-04-13T16:32:10
Monster Bone,299,2025-04-13T15:52:10
Mega Tundrus Recipe,15000,2025-04-13T12:48:50
Gigawatt Pulsar Recipe,14500,2025-04-13T12:48:50
Winter Grave Recipe,35000,2025-04-13T12:48:50
Dangerous Oni Helm,90000,2025-04-13T10:55:30
Dangerous Ribbon,40000,2025-04-13T10:53:50
Dangerous Mohawk,100000,2025-04-13T10:48:50
Fusion Blaster Recipe,12345,2025-04-13T08:00:30
Shadow Mote x9,800,2025-04-13T06:43:50
Blighted Bone,400,2025-04-13T06:18:50
Iron Gear,200,2025-04-13T06:17:49
Magic Hood,1500,2025-04-13T06:06:09
Electron Vortex,499999,2025-04-13T05:29:29
Avenger Recipe,9999,2025-04-13T05:08:49
Flame Soul,799,2025-04-13T04:43:49
Monster Bone,299,2025-04-13T04:42:10
Primal Ore,1333,2025-04-13T04:42:10
Tundrus Recipe,6000,2025-04-13T04:09:28
Platinum Lockbox,10000,2025-04-13T03:10:29
Voltaic Radical Mask,320000,2025-04-13T03:08:49
Volcanic Knight Vision Goggles,50000,2025-04-13T02:58:49
Nightmare Mane,11000,2025-04-13T02:49:28
Nightmare Mane,11000,2025-04-13T02:49:28
Celestial Ore,10000,2025-04-13T02:47:48
Brandish,1111,2025-04-13T02:38:49
Magic Cloak,2555,2025-04-13T02:37:09
Magic Hood,2555,2025-04-13T02:37:09
Wolver Cap,2555,2025-04-13T02:37:09
Wolver Cap,3999,2025-04-13T02:37:09
Wolver Coat,3999,2025-04-13T02:37:09
Power Stone x5,7500,2025-04-13T02:22:48
Tundrus,14000,2025-04-13T02:12:09
Platinum Lockbox,17500,2025-04-13T01:50:29
Grinchlin Snowball,666,2025-04-13T01:22:48
Grinchlin Snowball,666,2025-04-13T01:20:28
Grinchlin Snowball,666,2025-04-13T01:17:08
Grinchlin Snowball,666,2025-04-13T01:17:08
Grinchlin Snowball,666,2025-04-13T01:17:08
Grinchlin Snowball,666,2025-04-13T01:16:08
Sprinkle Aura,216888,2025-04-13T01:13:48
Elite Orb of Alchemy,7000,2025-04-13T00:42:48
Magic Hood,1500,2025-04-13T00:39:28
Tundrus Recipe,8999,2025-04-12T23:42:08
Shadow Blaster Recipe,6000,2025-04-12T22:30:28
Elemental Blaster Recipe,10000,2025-04-12T22:00:28
Brandish,35000,2025-04-12T20:40:28
Shadow Orb x3,4500,2025-04-12T18:41:08
Divine Orb x3,4500,2025-04-12T18:40:29
Divine Orb x3,4600,2025-04-12T18:38:49
Divine Orb x3,4500,2025-04-12T18:38:49
Divine Orb x3,4600,2025-04-12T18:38:49
Divine Orb x3,4500,2025-04-12T18:38:49
Divine Orb x3,4600,2025-04-12T18:38:49
Divine Orb x3,4500,2025-04-12T18:38:49
Divine Orb x3,4400,2025-04-12T18:37:09
Advanced Orb of Alchemy,4500,2025-04-12T18:25:28
Advanced Orb of Alchemy,4500,2025-04-12T18:25:28
Power Mote,150,2025-04-12T18:20:28
Power Mote,150,2025-04-12T18:18:48
Power Mote,150,2025-04-12T18:18:48
Power Mote,150,2025-04-12T18:18:48
Power Mote,150,2025-04-12T18:18:48
Shadow Mote,150,2025-04-12T18:18:48
Shadow Mote,150,2025-04-12T18:18:48
Shadow Mote,150,2025-04-12T18:18:48
Shadow Mote,150,2025-04-12T18:18:48
Electron Charge,150000,2025-04-12T16:07:49
Magic Hood,1500,2025-04-12T15:57:49
Magic Hood,1500,2025-04-12T15:57:49
Emberbreak Shield,1500,2025-04-12T15:38:50
Emberbreak Armor,1500,2025-04-12T15:38:50
Emberbreak Helm,1500,2025-04-12T15:38:50
QQQ Slime Lockbox,14998,2025-04-12T15:01:27
QQQ Slime Lockbox,13998,2025-04-12T15:01:27
QQQ Slime Lockbox,11998,2025-04-12T15:01:27
A14 (Sapphire) Slime Lockbox,69000,2025-04-12T15:01:09
Toasty Field Cap,4500,2025-04-12T15:01:09
Regal Field Cap,4500,2025-04-12T15:00:30
Fancy Field Cap,4500,2025-04-12T15:00:30
Blazing Pulsar Recipe,12000,2025-04-12T14:08:07
Glowing Forge Prize Box,50000,2025-04-12T13:21:27
Hallow Culet,1175,2025-04-12T13:07:49
Zapper,775,2025-04-12T13:04:29
Hot Edge,750,2025-04-12T13:02:49
Brandish,1350,2025-04-12T13:02:10
Brandish,1400,2025-04-12T13:01:27
Brandish,1250,2025-04-12T12:59:47
Flaming Pulsar Recipe,8000,2025-04-12T12:57:10
Tundrus Recipe,9000,2025-04-12T12:51:27
Magic Hood,1500,2025-04-12T12:39:29
Peridot Gold Buckled Coat,77777,2025-04-12T12:38:50
Volcanic Node Slime Guards,55000,2025-04-12T12:37:10
Crest of Winter,69696,2025-04-12T12:33:06
Crest of Summer,69696,2025-04-12T12:33:06
Power Star x10,22222,2025-04-12T12:21:27
Grand Solstice Ring,666666,2025-04-12T12:14:29
Royal Skewer,1500,2025-04-12T12:13:50
Shadow Steel,600,2025-04-12T12:13:06
Crest of Ur,1360,2025-04-12T12:12:49
